epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,1065.26,1.14845,0.50942,0.8667,0.89681,0.56976,0.56705,0.33605,1.33447,0.69725,0.96032,0.000660341,0.000660341,0.000660341
165,1070.71,1.11873,0.5114,0.86883,0.88859,0.56184,0.55412,0.33402,1.33051,0.69663,0.95922,0.000655625,0.000655625,0.000655625
166,1081.16,1.13127,0.50639,0.87613,0.86593,0.56074,0.54397,0.32592,1.33048,0.70215,0.95998,0.000650909,0.000650909,0.000650909
167,1086.86,1.11714,0.50182,0.87082,0.86316,0.55524,0.5436,0.30781,1.35013,0.70042,0.95941,0.000646194,0.000646194,0.000646194
168,1092.97,1.10068,0.49523,0.87299,0.85322,0.56486,0.54402,0.30409,1.35686,0.69912,0.95927,0.000641478,0.000641478,0.000641478
169,1100.11,1.10264,0.49398,0.86644,0.84521,0.56103,0.53549,0.30421,1.35037,0.69024,0.95787,0.000636762,0.000636762,0.000636762
170,1105.4,1.08705,0.49565,0.86976,0.87283,0.55537,0.53854,0.30749,1.36309,0.69047,0.95859,0.000632047,0.000632047,0.000632047
171,1112.47,1.11168,0.49874,0.87033,0.86965,0.51643,0.49917,0.2895,1.39808,0.69808,0.9634,0.000627331,0.000627331,0.000627331
172,1117.69,1.10942,0.49549,0.8665,0.88966,0.52972,0.51881,0.30603,1.37295,0.68579,0.95978,0.000622615,0.000622615,0.000622615
173,1123.94,1.08659,0.49076,0.86508,0.88715,0.55289,0.53586,0.32892,1.35452,0.67907,0.95861,0.0006179,0.0006179,0.0006179
174,1130.67,1.07621,0.48667,0.86376,0.8889,0.57398,0.55978,0.34277,1.37023,0.68047,0.96085,0.000613184,0.000613184,0.000613184
175,1136.8,1.07043,0.47989,0.85941,0.88176,0.57129,0.55795,0.34256,1.37273,0.68472,0.96188,0.000608468,0.000608468,0.000608468
176,1144.43,1.09407,0.48725,0.86656,0.89321,0.56179,0.54974,0.33518,1.37819,0.69096,0.96509,0.000603752,0.000603752,0.000603752
177,1149.95,1.07483,0.48673,0.86057,0.88963,0.56696,0.55045,0.32881,1.37402,0.69354,0.96716,0.000599037,0.000599037,0.000599037
178,1156.23,1.09422,0.4903,0.86336,0.89103,0.57389,0.56097,0.32733,1.40832,0.69999,0.97441,0.000594321,0.000594321,0.000594321
179,1162.05,1.10857,0.49211,0.86431,0.87882,0.58217,0.56453,0.33203,1.39282,0.70222,0.97523,0.000589605,0.000589605,0.000589605
180,1168.02,1.09819,0.48668,0.85918,0.87562,0.57198,0.55647,0.33533,1.39202,0.70321,0.97427,0.00058489,0.00058489,0.00058489
181,1174.85,1.08862,0.49569,0.8619,0.88899,0.56803,0.55912,0.33641,1.39941,0.6959,0.96843,0.000580174,0.000580174,0.000580174
